Name of Product,Is Accepted Policy,agree value,StemmedText
Micro Ditsy Dot Print Top,Yes,1,micro ditsi dot print top
Oil-Free Face Moisturiser,Yes,1,oil-fre face moisturis
Women Ethnic Motifs Embroidered Georgette Kurta,Yes,1,women ethnic motif embroid georgett kurta
Floral Crop Denim Jacket,Yes,1,floral crop denim jacket
Floral Peplum Midi Dress,Yes,1,floral peplum midi dress
Printed Saree,Yes,1,print sare
Slim Fit Solid Pure Cotton T-shirt,Yes,1,slim fit solid pure cotton t-shirt
Jewellery Set,Yes,1,jewelleri set
Embellished PU Handheld Bag,Yes,1,embellish pu handheld bag
Zip-Top Sweatshirt,Yes,1,zip-top sweatshirt
220 TC King 2 Pillow Covers,Yes,1,220 tc king 2 pillow cover
Cotton Strappy A-Line Dress,Yes,1,cotton strappi a-lin dress
Floral Pure Cotton Midi Dress,Yes,1,floral pure cotton midi dress
Men Straight Fit Jeans,Yes,1,men straight fit jean
Printed Anarkali Layered Kurta,Yes,1,print anarkali layer kurta
Mini Matte Lipstick - Whirl,Yes,1,mini matt lipstick - whirl
Women Solid Bling and Sparkly Jumpsuit,Yes,1,women solid bling and sparkli jumpsuit
Solid Kurta with Trousers,Yes,1,solid kurta with trouser
Boys Pack of 2 T-shirts,Yes,1,boy pack of 2 t-shirt
Women Textured Ballerinas,Yes,1,women textur ballerina
Boys Pack Of 2 Clothing Set,Yes,1,boy pack of 2 cloth set
Self Design Sling Bag,Yes,1,self design sling bag
Men Training or Gym Sports Shorts,Yes,1,men train or gym sport short
"Women Solid Relaxed Fit, Dry-Fit, Anti Odour & Anti Bacteria Track Pants",Yes,1,"women solid relax fit , dry-fit , anti odour & anti bacteria track pant"
Live Sportstyle T-shirt,Yes,1,live sportstyl t-shirt
Women Leather Zip Wallet,Yes,1,women leather zip wallet
Opaque Casual Shirt,Yes,1,opaqu casual shirt
Women Weslee Watch,Yes,1,women wesle watch
Layered Jewellery Set,Yes,1,layer jewelleri set
Women Pleated Trousers,Yes,1,women pleat trouser
Embellished Belt,Yes,1,embellish belt
Ethnic Motifs Embroidered Kurti,Yes,1,ethnic motif embroid kurti
Typography Printed T-shirt,Yes,1,typographi print t-shirt
Women Three-Fold Wallet,Yes,1,women three-fold wallet
Lace Lingerie Set,Yes,1,lace lingeri set
Boys Washed Denim Shorts,Yes,1,boy wash denim short
Men Printed T-shirt,Yes,1,men print t-shirt
Men Bio-Wash Cotton Joggers,Yes,1,men bio-wash cotton jogger
Hair Spa Cream - 500g,Yes,1,hair spa cream - 500g
Women Solid Handheld Bag,Yes,1,women solid handheld bag
Men Solid joggers,Yes,1,men solid jogger
Lightweight Air Max Shoes,Yes,1,lightweight air max shoe
Women Solid Kurta,Yes,1,women solid kurta
Women Solid Wedges,Yes,1,women solid wedg
Solid T-shirt Bra,Yes,1,solid t-shirt bra
Block Pumps,Yes,1,block pump
Lightly Padded Workout Bra,Yes,1,lightli pad workout bra
Women Kimono Sleeves Shrug,Yes,1,women kimono sleev shrug
Men Slim Fit Joggers,Yes,1,men slim fit jogger
Boys Solid Sneakers,Yes,1,boy solid sneaker
Printed Layered Kurta Set,Yes,1,print layer kurta set
Boys Regular Shorts,Yes,1,boy regular short
Leather Handheld Bag,Yes,1,leather handheld bag
Boys Night suit,Yes,1,boy night suit
Women Cropped Vest Top,Yes,1,women crop vest top
Stunning Blue Print Parade Viscose Rayon Kurta,Yes,1,stun blue print parad viscos rayon kurta
Smocked Cotton Empire Top,Yes,1,smock cotton empir top
Geometric Net Swirling Volume Kurta Set,Yes,1,geometr net swirl volum kurta set
Pure Cotton Maxi Dress,Yes,1,pure cotton maxi dress
Solid Structured Shoulder Bag,Yes,1,solid structur shoulder bag
Men Printed Henley Neck T-shirt,Yes,1,men print henley neck t-shirt
Synthetic Leather Two Fold Wallet,Yes,1,synthet leather two fold wallet
Polka Dot Printed A-Line Dress,Yes,1,polka dot print a-lin dress
Women Yoke Design Kurta with Trousers With Dupatta,Yes,1,women yoke design kurta with trouser with dupatta
Women Printed Fit and Flare Dress,Yes,1,women print fit and flare dress
Women Dial Watch,Yes,1,women dial watch
Women Block Heels,Yes,1,women block heel
Women Ballerinas,Yes,1,women ballerina
Woman Pure Cotton T-shirt,Yes,1,woman pure cotton t-shirt
Men Brand Logo Printed Slim Fit T-shirt,Yes,1,men brand logo print slim fit t-shirt
Safe Color Dark Brown 50g,Yes,1,safe color dark brown 50g
Printed Wrap Dress,Yes,1,print wrap dress
Women Solid Cardigan,Yes,1,women solid cardigan
Cotton Checked Casual Shirt,Yes,1,cotton check casual shirt
Men Abstract Print Pure Cotton,Yes,1,men abstract print pure cotton
Men Ethnic Motifs Print Kurta,Yes,1,men ethnic motif print kurta
Girls Regular Fit Jeans,Yes,1,girl regular fit jean
Men 3-pack Slim Fit T-shirts,Yes,1,men 3-pack slim fit t-shirt
Men Striped Formal Shirt,Yes,1,men stripe formal shirt
Floral All in the Details Trousers,Yes,1,floral all in the detail trouser
Georgette Regular Top,Yes,1,georgett regular top
Coverup Concealer - Ivory 10.2,Yes,1,coverup conceal - ivori 10.2
Set of 2 Gold-Plated Bangles,Yes,1,set of 2 gold-plat bangl
Set of 4 Bedding Set,Yes,1,set of 4 bed set
Scarf Print Maxi Dress,Yes,1,scarf print maxi dress
Women Solid Co-ord Set,Yes,1,women solid co-ord set
Women Kurta with Trousers With Dupatta,Yes,1,women kurta with trouser with dupatta
Set of 2 Magnet Eyes Kajal,Yes,1,set of 2 magnet eye kajal
Men Three-Fourth Track Pants,Yes,1,men three-fourth track pant
Women Checked Flared Mini Skirt,Yes,1,women check flare mini skirt
Women Regular Fit Peg Trousers,Yes,1,women regular fit peg trouser
Men Slim Fit Formal Trousers,Yes,1,men slim fit formal trouser
Girls Solid Trainers,Yes,1,girl solid trainer
Women Knitted Tie-Detail Top,Yes,1,women knit tie-detail top
Solid Block Heeled Mules,Yes,1,solid block heel mule
Floral Print Crepe Maxi Dress,Yes,1,floral print crepe maxi dress
Men Light Fade Jeans,Yes,1,men light fade jean
Floral Printed Puff Sleeves Chiffon Top,Yes,1,floral print puff sleev chiffon top
Face Serum,Yes,1,face serum
Ready to Wear Lehenga Choli,Yes,1,readi to wear lehenga choli
Stretchable Cropped Chinos,Yes,1,stretchabl crop chino
Floral Print Halter Neck Bishop Sleeves Top,Yes,1,floral print halter neck bishop sleev top
Floral Printed T-shirt,Yes,1,floral print t-shirt
Men Reversible Belt,Yes,1,men revers belt
Women Pack of 3 Bikini Briefs,Yes,1,women pack of 3 bikini brief
Men Solid Espadrilles,Yes,1,men solid espadril
Men Tie and Dye Printed T-shirt,Yes,1,men tie and dye print t-shirt
Cotton Printed Polo T-shirt,Yes,1,cotton print polo t-shirt
Men Striped Casual Shirt,Yes,1,men stripe casual shirt
Ribbed Puff Sleeves Top,Yes,1,rib puff sleev top
Slim Fit Pure Cotton T-shirt,Yes,1,slim fit pure cotton t-shirt
Floral Maxi Dress,Yes,1,floral maxi dress
Women Geometric Embroidered Kurta,Yes,1,women geometr embroid kurta
Pure Cotton Sports Pure Cotton T-shirt,Yes,1,pure cotton sport pure cotton t-shirt
Women Boxy Casual Shirt,Yes,1,women boxi casual shirt
Women A-Line Midi Dress,Yes,1,women a-lin midi dress
Men Suede Loafers,Yes,1,men sued loafer
Solid Pure Cotton T-shirt,Yes,1,solid pure cotton t-shirt
Men Printed Scoop Neck T-shirt,Yes,1,men print scoop neck t-shirt
Animal PU Structured Sling Bag,Yes,1,anim pu structur sling bag
Platform Heeled Boots,Yes,1,platform heel boot
Women Thread Work Kurta,Yes,1,women thread work kurta
Men Tailored Jacket,Yes,1,men tailor jacket
Women Ribbed Bodycon Dress,Yes,1,women rib bodycon dress
2 Tier Wall Hanging Planters,Yes,1,2 tier wall hang planter
Xtenso Care Mask - 196 g,Yes,1,xtenso care mask - 196 g
Heavily Padded Workout ESS Bra,Yes,1,heavili pad workout ess bra
Block Mules,Yes,1,block mule
Women Tapered Fit Pleated Trousers,Yes,1,women taper fit pleat trouser
Women Printed Cropped Trousers,Yes,1,women print crop trouser
Modern Solid Lounge T-shirt,Yes,1,modern solid loung t-shirt
Girls Tie-Up Neck Regular Top,Yes,1,girl tie-up neck regular top
Padded Jacket,Yes,1,pad jacket
Tie-Up Pure Cotton Top,Yes,1,tie-up pure cotton top
Lightly Padded Maternity Bra,Yes,1,lightli pad matern bra
Unisex 85 Litres Rucksack,Yes,1,unisex 85 litr rucksack
Women Slim Fit Jeans,Yes,1,women slim fit jean
Women Typography Printed Applique T-shirt,Yes,1,women typographi print appliqu t-shirt
Silver-Plated  AD Studded &  Beaded Mangalsutra,Yes,1,silver-pl ad stud & bead mangalsutra
Power Shoulders Peplum Top,Yes,1,power shoulder peplum top
Sustain Organic Hair Color Kit,Yes,1,sustain organ hair color kit
Women Textured Satchel,Yes,1,women textur satchel
Women Georgette Kurta,Yes,1,women georgett kurta
PU Zip Around Wallet,Yes,1,pu zip around wallet
Men Printed Casual Shirt,Yes,1,men print casual shirt
Self Design Beanie,Yes,1,self design beani
Women Running Joggers,Yes,1,women run jogger
Women Solid Block Heels,Yes,1,women solid block heel
Striped Polo Collar T-shirt,Yes,1,stripe polo collar t-shirt
Unisex Printed Backpack,Yes,1,unisex print backpack
Block Print Legacy Pure Cotton Dupatta,Yes,1,block print legaci pure cotton dupatta
Women Colourblocked Sneakers,Yes,1,women colourblock sneaker
Men Embroidery Detail T-shirt,Yes,1,men embroideri detail t-shirt
Men Slim Fit Shorts,Yes,1,men slim fit short
Men Regular Fit Joggers,Yes,1,men regular fit jogger
Women Leather Handheld Bag,Yes,1,women leather handheld bag
Girls Printed Playsuit,Yes,1,girl print playsuit
Women Graphic Joyful Conversation T-Shirt,Yes,1,women graphic joy convers t-shirt
Women Skinny Fit High-Rise Jeans,Yes,1,women skinni fit high-ris jean
Men Striped Slim Fit T-shirt,Yes,1,men stripe slim fit t-shirt
Tulle-Skirt Dress,Yes,1,tulle-skirt dress
Men Mid-Top Sneakers,Yes,1,men mid-top sneaker
Women Printed Kurta,Yes,1,women print kurta
Solid Polo Collar T-shirt,Yes,1,solid polo collar t-shirt
Set of 5 Square Cushion Covers,Yes,1,set of 5 squar cushion cover
Women V-Neck T-shirt,Yes,1,women v-neck t-shirt
Bandhani Pure Georgette Saree,Yes,1,bandhani pure georgett sare
Women Kurta Set With Dupatta,Yes,1,women kurta set with dupatta
Handblock Print A-Line Kurta,Yes,1,handblock print a-lin kurta
Pack Of 2 Cotton Fit & Flare,Yes,1,pack of 2 cotton fit & flare
Semi-Stitched Lehenga Choli,Yes,1,semi-stitch lehenga choli
Striped One-Toe Wedges,Yes,1,stripe one-to wedg
Ribbed Unitard,Yes,1,rib unitard
Pure Cotton Solid Regular Top,Yes,1,pure cotton solid regular top
Women Jeans,Yes,1,women jean
Women Loose Fit Pleated Trousers,Yes,1,women loos fit pleat trouser
Checked Shirt Style Top,Yes,1,check shirt style top
Hair Profressional Ultra Hold Hairspray - 250 ml,Yes,1,hair profression ultra hold hairspray - 250 ml
Women Solid Kurta Slip Camisole,Yes,1,women solid kurta slip camisol
Slim Fit HEAT.RDY T-shirt,Yes,1,slim fit heat.rdi t-shirt
Animal Print Fitted Crop Top,Yes,1,anim print fit crop top
Women Solid Padded Lingerie Set,Yes,1,women solid pad lingeri set
Men Bootcut Low-Rise Jeans,Yes,1,men bootcut low-ris jean
Shake & Spray Hair Serum 50 ml,Yes,1,shake & spray hair serum 50 ml
Clutch with Sling Strap,Yes,1,clutch with sling strap
Women PU Sneakers,Yes,1,women pu sneaker
Solid Denim Jacket,Yes,1,solid denim jacket
Women Textured Tummy Shapewear,Yes,1,women textur tummi shapewear
Men Mandarin Collar Slim Fit T-shirt,Yes,1,men mandarin collar slim fit t-shirt
Women Textured Sling Bag,Yes,1,women textur sling bag
Tartan Checks Casual Shirt,Yes,1,tartan check casual shirt
Embellished Comfort Heels,Yes,1,embellish comfort heel
Embroidery Detail A-Line Kurta,Yes,1,embroideri detail a-lin kurta
Women Embroidered Kurta with Palazzos With Dupatta,Yes,1,women embroid kurta with palazzo with dupatta
Tie And Dye Layered Top,Yes,1,tie and dye layer top
Women Treggings,Yes,1,women treg
Women Printed Kurti with Skirt,Yes,1,women print kurti with skirt
Handcrafted Analogue Contemporary Wall Clock,Yes,1,handcraft analogu contemporari wall clock
Bracelet Style Analogue Watch,Yes,1,bracelet style analogu watch
Solid Cinched Waist Top,Yes,1,solid cinch waist top
Women Self-Design Bridal Lace Lingerie Set,Yes,1,women self-design bridal lace lingeri set
Solid Two Fold Leather Wallet,Yes,1,solid two fold leather wallet
Men Cotton T-shirt,Yes,1,men cotton t-shirt
Women Anarkali Kurta,Yes,1,women anarkali kurta
"Skin Illuminate Sunscreen with SPF 50 Gel for UVA & B Protection, Pa+++ 50 g",Yes,1,"skin illumin sunscreen with spf 50 gel for uva & b protect , pa+++ 50 g"
Men Skinny Fit Checked Chinos,Yes,1,men skinni fit check chino
Men Ultra Soft Briefs,Yes,1,men ultra soft brief
Hair Serum 100 ml,Yes,1,hair serum 100 ml
Women Floral Printed Raw Edge T-shirt,Yes,1,women floral print raw edg t-shirt
Floral Print Crepe Top,Yes,1,floral print crepe top
Croc Textured Block Heels,Yes,1,croc textur block heel
Men Solid Formal Loafers,Yes,1,men solid formal loafer
Women High-Rise Tapered Jeans,Yes,1,women high-ris taper jean
Quirky Long Door Curtain,Yes,1,quirki long door curtain
Printed Dri-FIT T-shirt,Yes,1,print dri-fit t-shirt
Women Pack of 3 Hipster Briefs,Yes,1,women pack of 3 hipster brief
Women Ethnic Motifs Embroidered Kurta,Yes,1,women ethnic motif embroid kurta
Women Mid-Rise Jeggings,Yes,1,women mid-ris jeg
Women Regular Fit Shorts,Yes,1,women regular fit short
Women Striped Zip Around Wallet,Yes,1,women stripe zip around wallet
Men Colourblock Cotton T-shirt,Yes,1,men colourblock cotton t-shirt
Women Embroidered Kurti with Pyjamas,Yes,1,women embroid kurti with pyjama
Women Leheriya Printed Kurta,Yes,1,women leheriya print kurta
Training Cotton Tshirt,Yes,1,train cotton tshirt
Men Leather Analogue Watch,Yes,1,men leather analogu watch
Men Pack of 2 Pure Cotton boxers,Yes,1,men pack of 2 pure cotton boxer
Brand Logo Backpack,Yes,1,brand logo backpack
Straight Cotton Lounge Pants,Yes,1,straight cotton loung pant
Women Kurta,Yes,1,women kurta
Bandhani Silk Blend Saree,Yes,1,bandhani silk blend sare
Solid Elevated Bottom Trousers,Yes,1,solid elev bottom trouser
Men Smart Fit Trousers,Yes,1,men smart fit trouser
Cotton Floral Embroidered Top,Yes,1,cotton floral embroid top
Men Colourblocked Joggers,Yes,1,men colourblock jogger
Men Solid Slim-Fit Suits,Yes,1,men solid slim-fit suit
Boys Shorts,Yes,1,boy short
Men Leather Jacket,Yes,1,men leather jacket
Slim Fit Cotton Casual Shirt,Yes,1,slim fit cotton casual shirt
Men Solid Sneakers,Yes,1,men solid sneaker
Unisex Ayurvedic Almond Soap,Yes,1,unisex ayurved almond soap
Printed Kurta with Sharara,Yes,1,print kurta with sharara
Sustainable Kids Nourishing Body Wash,Yes,1,sustain kid nourish bodi wash
Casual Sustainable Shirt,Yes,1,casual sustain shirt
SetOf3 PlanterPots with Stands,Yes,1,setof3 planterpot with stand
Women Solid Shrug,Yes,1,women solid shrug
Boys Striped Shorts,Yes,1,boy stripe short
Floral Print Puff Sleeves Top,Yes,1,floral print puff sleev top
Comfort Sandals,Yes,1,comfort sandal
Structured Sling Bag,Yes,1,structur sling bag
Women Fitted Top,Yes,1,women fit top
Men Colourblocked Sliders,Yes,1,men colourblock slider
Girls Typography Printed T-shirt,Yes,1,girl typographi print t-shirt
Pure Cotton Pintucks Kurta Set,Yes,1,pure cotton pintuck kurta set
Men White Printed T-shirt,Yes,1,men white print t-shirt
Men Regular Shorts,Yes,1,men regular short
Pack Of 3 Deo-Soft Brief,Yes,1,pack of 3 deo-soft brief
Floral Printed Top,Yes,1,floral print top
Men Pack Of 3 Patterned shoe-liners socks,Yes,1,men pack of 3 pattern shoe-lin sock
Age Rewind Concealer - Light,Yes,1,age rewind conceal - light
Pure Cotton Jashn Kurti,Yes,1,pure cotton jashn kurti
Solid Fitted Top,Yes,1,solid fit top
Printed Shift Dress,Yes,1,print shift dress
Women Eversculpt Slim Tights,Yes,1,women eversculpt slim tight
Rapid-Dry Printed Tights,Yes,1,rapid-dri print tight
Slim Fit Pure Cotton Shirt,Yes,1,slim fit pure cotton shirt
Sequinned Silk Blend Saree,Yes,1,sequin silk blend sare
Bra,Yes,1,bra
Men Checked Formal Blazer,Yes,1,men check formal blazer
Sustainable Cinched Waist Top,Yes,1,sustain cinch waist top
Women Stainless Steel Straps Watch,Yes,1,women stainless steel strap watch
Women Printed Nightdress,Yes,1,women print nightdress
Black Geometric Printed  Carpets,Yes,1,black geometr print carpet
Floral Tie-Up Neck Ruffled Top,Yes,1,floral tie-up neck ruffl top
Solid Mandarin Collar T-shirt,Yes,1,solid mandarin collar t-shirt
Men Genuine Leather Sandals,Yes,1,men genuin leather sandal
Rejuvenating Night Cream 25g,Yes,1,rejuven night cream 25g
Maxi Dress,Yes,1,maxi dress
Men Analogue & Digital Watch,Yes,1,men analogu & digit watch
Girls Open Toe Flats,Yes,1,girl open toe flat
Floral Printed Casual Shirt,Yes,1,floral print casual shirt
Men Polo Collar Slim Fit T-shirt,Yes,1,men polo collar slim fit t-shirt
Striped Mid-Rise Shorts,Yes,1,stripe mid-ris short
Women Embellished Wedges,Yes,1,women embellish wedg
Women Printed Kurta With Palazzos,Yes,1,women print kurta with palazzo
Chikankari Kurta with Dupatta,Yes,1,chikankari kurta with dupatta
Men Slim Fit Pure Cotton Jeans,Yes,1,men slim fit pure cotton jean
Colourblocked Sweatshirt,Yes,1,colourblock sweatshirt
Women Boyfriend Fit Jeans,Yes,1,women boyfriend fit jean
Women Kurta with Palazzos,Yes,1,women kurta with palazzo
A-Line Dress,Yes,1,a-lin dress
Men Solid Slim Fit Jeans,Yes,1,men solid slim fit jean
Printed Polo Collar T-shirt,Yes,1,print polo collar t-shirt
Men Pack Of 2 Solid Briefs,Yes,1,men pack of 2 solid brief
Strawberry Lip Balm,Yes,1,strawberri lip balm
Cut-Work Handheld Bag,Yes,1,cut-work handheld bag
Leather Two Fold Wallet,Yes,1,leather two fold wallet
Charcoal Facial Starter Kit,Yes,1,charcoal facial starter kit
Floral Printed Regular Top,Yes,1,floral print regular top
KATI Quilted Shoulder Bag,Yes,1,kati quilt shoulder bag
Women Cut-Out Top,Yes,1,women cut-out top
Women Floral Yoke Design Kurta,Yes,1,women floral yoke design kurta
Women Solid Long Camisole,Yes,1,women solid long camisol
Women Boyfriend Fit High-Rise Jeans,Yes,1,women boyfriend fit high-ris jean
Men Pure Cotton T-shirt,Yes,1,men pure cotton t-shirt
Slim Fit Opaque Formal Shirt,Yes,1,slim fit opaqu formal shirt
Men Printed Casual T-shirt,Yes,1,men print casual t-shirt
Men Casual Shirt,Yes,1,men casual shirt
Pack Of 5 Everyday Bra,Yes,1,pack of 5 everyday bra
Printed Sweatshirt,Yes,1,print sweatshirt
Envelope,Yes,1,envelop
Originals SlimFit Casual Shirt,Yes,1,origin slimfit casual shirt
Romantic Floral Kurta Set,Yes,1,romant floral kurta set
Embroidered Anarkali Kurta,Yes,1,embroid anarkali kurta
Geometric PU Shoulder Bag,Yes,1,geometr pu shoulder bag
Women Low-Rise Boy Shorts,Yes,1,women low-ris boy short
Girls Printed Cotton Top,Yes,1,girl print cotton top
PU Envelope Wallet,Yes,1,pu envelop wallet
Set Of 6 Printed 5-Seater Sofa Cover,Yes,1,set of 6 print 5-seater sofa cover
Men Textured Formal Oxfords,Yes,1,men textur formal oxford
Men Leather Driving Shoes,Yes,1,men leather drive shoe
Cotton Embroidered Top,Yes,1,cotton embroid top
Men Woven Design Slip-On Sneakers,Yes,1,men woven design slip-on sneaker
Men Regular Fit Shirt,Yes,1,men regular fit shirt
Embellished Block Sandals,Yes,1,embellish block sandal
Raw Hem Super Skinny Fit Jeans,Yes,1,raw hem super skinni fit jean
Men Streaker Run T-shirt,Yes,1,men streaker run t-shirt
Men Woven Design Trekking Shoes,Yes,1,men woven design trek shoe
PU Block Sandals with Buckles,Yes,1,pu block sandal with buckl
Solid Stainless Steel Water Bottle 500 ML,Yes,1,solid stainless steel water bottl 500 ml
Women Solid Sneakers,Yes,1,women solid sneaker
Men Watch,Yes,1,men watch
Rhodium-Plated Circular Studs,Yes,1,rhodium-pl circular stud
Solid Cotton Shirt,Yes,1,solid cotton shirt
Woman High-Rise Relaxed Jeans,Yes,1,woman high-ris relax jean
Women Loose Fit Trousers,Yes,1,women loos fit trouser
Men Skinny Fit Low-Rise Jeans,Yes,1,men skinni fit low-ris jean
Set Of 3 Skin Purifying Neem Face Wash 300ml each,Yes,1,set of 3 skin purifi neem face wash 300ml each
Face Moisturiserizing Pappaya Gel 300g,Yes,1,face moisturiser pappaya gel 300g
Women Printed Padded Bra,Yes,1,women print pad bra
Men Defy Deodrant 150 ml,Yes,1,men defi deodrant 150 ml
Women Air + Walking Shoes,Yes,1,women air + walk shoe
Men Printed Sneakers,Yes,1,men print sneaker
Embellished Block Mules,Yes,1,embellish block mule
Women Plus Siz Trousers,Yes,1,women plu siz trouser
Unisex Sustainable Face Lotion 50 ml,Yes,1,unisex sustain face lotion 50 ml
Women Solid Open Toe Flats,Yes,1,women solid open toe flat
Pack of 2 T-Shirt Bra,Yes,1,pack of 2 t-shirt bra
Men Handmade Flat Boots,Yes,1,men handmad flat boot
Women Striped Regular Shorts,Yes,1,women stripe regular short
Solid Cropped Linen Shirt,Yes,1,solid crop linen shirt
Women Kurti with Skirt With Dupatta,Yes,1,women kurti with skirt with dupatta
Boys Slim Fit Jeans,Yes,1,boy slim fit jean
Men Textured Two Fold Wallet,Yes,1,men textur two fold wallet
Men Jogger Fit Jeans,Yes,1,men jogger fit jean
Striped Round Neck T-shirt,Yes,1,stripe round neck t-shirt
Crepe Top,Yes,1,crepe top
Men Digital Watch,Yes,1,men digit watch
Women Mandarin Collar T-shirt,Yes,1,women mandarin collar t-shirt
Men Tuna V3 Thong Flip-Flops,Yes,1,men tuna v3 thong flip-flop
Women Pleated Formal Trousers,Yes,1,women pleat formal trouser
Men Formal Oxfords,Yes,1,men formal oxford
Striped Casual Shirt,Yes,1,stripe casual shirt
Floral Crepe Midi Dress,Yes,1,floral crepe midi dress
Printed Cotton Nightdress,Yes,1,print cotton nightdress
Men 502 Tapered Fit Jeans,Yes,1,men 502 taper fit jean
Linen Basic Jumpsuit,Yes,1,linen basic jumpsuit
Chevron Pure Cotton Kaftan Kurta Set,Yes,1,chevron pure cotton kaftan kurta set
Women Set of 2 Socks,Yes,1,women set of 2 sock
Onion Conditioner- 300 ml,Yes,1,onion conditioner- 300 ml
Solid Sherpa Purse Clutch,Yes,1,solid sherpa purs clutch
Men Mid-Top Chelsea Boots,Yes,1,men mid-top chelsea boot
Women Printed Capri Set,Yes,1,women print capri set
Men Sport Sandals,Yes,1,men sport sandal
Men Sport Performance Shorts,Yes,1,men sport perform short
His & Her Analogue Watch,Yes,1,hi & her analogu watch
Women Mayu Suede Sneakers,Yes,1,women mayu sued sneaker
Women Colourblocked Track Suit,Yes,1,women colourblock track suit
Men Solid Leather Formal Derby Shoes,Yes,1,men solid leather formal derbi shoe
Solid PU Zip Around Wallet,Yes,1,solid pu zip around wallet
Unisex Foldable Backpack,Yes,1,unisex foldabl backpack
Lightly Padded T-shirt Bra,Yes,1,lightli pad t-shirt bra
Solid Basic Jumpsuit,Yes,1,solid basic jumpsuit
Striped Saree,Yes,1,stripe sare
Men Skinny Fit Low-Rise Trousers,Yes,1,men skinni fit low-ris trouser
Unisex Printed Snapback Cap,Yes,1,unisex print snapback cap
Solid Structured Sling Bag,Yes,1,solid structur sling bag
Women Terry Resort Shirt,Yes,1,women terri resort shirt
Asymmetric A-Line Kurta,Yes,1,asymmetr a-lin kurta
Poly Chiffon Saree,Yes,1,poli chiffon sare
Textured Leather Stiletto Sandals,Yes,1,textur leather stiletto sandal
Men Plus Size Slim Fit Jeans,Yes,1,men plu size slim fit jean
Woman Block Mules,Yes,1,woman block mule
Women Leather Sneakers,Yes,1,women leather sneaker
Slim Pure Cotton Casual Shirt,Yes,1,slim pure cotton casual shirt
Men PU Slip-On Sneakers,Yes,1,men pu slip-on sneaker
Women Colourblocked Saree,Yes,1,women colourblock sare
Women Flared High-Rise Jeans,Yes,1,women flare high-ris jean
Men Checked Slim Fit Trousers,Yes,1,men check slim fit trouser
Women Solid Cotton Track Pants,Yes,1,women solid cotton track pant
Women Charged Rogue 3 Running,Yes,1,women charg rogu 3 run
DIY Shampoo- Natural Black 1,Yes,1,diy shampoo- natur black 1
Formal Shirt,Yes,1,formal shirt
Girls Belted Sweatshirt Dress,Yes,1,girl belt sweatshirt dress
Embellished Wedges,Yes,1,embellish wedg
Infant Girls Top & Skirt,Yes,1,infant girl top & skirt
Men Mojaris,Yes,1,men mojari
Women Geometric Printed Crepe Kurta,Yes,1,women geometr print crepe kurta
Plus Size Printed Cotton Kurti,Yes,1,plu size print cotton kurti
Men XX3 Cologne Spray 135 ml,Yes,1,men xx3 cologn spray 135 ml
Kids Solid School Shoes,Yes,1,kid solid school shoe
Lightly Padded Cotton Bra,Yes,1,lightli pad cotton bra
Men Fresh Ocean Body Wash,Yes,1,men fresh ocean bodi wash
Girls Denim Sheath Dress,Yes,1,girl denim sheath dress
Printed One-Shoulder Jumpsuit,Yes,1,print one-should jumpsuit
Women Bootcut High-Rise Jeans,Yes,1,women bootcut high-ris jean
Lightly Padded Underwired Bra,Yes,1,lightli pad underwir bra
Solid Polyester Kurta Set,Yes,1,solid polyest kurta set
Men Woven Design Kurta,Yes,1,men woven design kurta
Men Printed Track Pants,Yes,1,men print track pant
Contemporary Drop Earrings,Yes,1,contemporari drop ear
Women Straight Fit Trousers,Yes,1,women straight fit trouser
Woven Design Wedge Sandals,Yes,1,woven design wedg sandal
Women Shine EDP 75 ml,Yes,1,women shine edp 75 ml
Leather Wedge Heels,Yes,1,leather wedg heel
Men Shoe-Style Sandals,Yes,1,men shoe-styl sandal
Floral Top,Yes,1,floral top
Women Heels,Yes,1,women heel
Ethnic Motifs Tie-Up Neck Dress,Yes,1,ethnic motif tie-up neck dress
Cinched Waist Top,Yes,1,cinch waist top
Women Ethnic Motifs Yoke Design Kurta,Yes,1,women ethnic motif yoke design kurta
Men Slim Fit Regular Shorts,Yes,1,men slim fit regular short
Pack Of Two Solid T-Shirt Bra,Yes,1,pack of two solid t-shirt bra
Women Solid Corduroy Jacket,Yes,1,women solid corduroy jacket
Women Heeled Boots,Yes,1,women heel boot
Men Albert Super Slim Jeans,Yes,1,men albert super slim jean
300 TC King 2 Pillow Covers,Yes,1,300 tc king 2 pillow cover
Men Printed Rubber Sliders,Yes,1,men print rubber slider
No Transfer Matte Lipstick- 06,Yes,1,no transfer matt lipstick- 06
Women Floral A-Line Midi Dress,Yes,1,women floral a-lin midi dress
Men Polo Collar T-shirt,Yes,1,men polo collar t-shirt
Men Leather Formal Belt,Yes,1,men leather formal belt
Solid Cotton T-shirt,Yes,1,solid cotton t-shirt
Cotton Self-Design Midi Dress,Yes,1,cotton self-design midi dress
Women 3-Stripes Tights,Yes,1,women 3-stripe tight
Midi Tie-Up Neck Shirt Dress,Yes,1,midi tie-up neck shirt dress
Women self design Waisted Dress dress,Yes,1,women self design waist dress dress
Women Solid Backpack,Yes,1,women solid backpack
Embellished Potli Clutch,Yes,1,embellish potli clutch
Men Solid Boat Shoes,Yes,1,men solid boat shoe
Men Kurta with Pyjamas,Yes,1,men kurta with pyjama
Men Velvet Finish Mojaris,Yes,1,men velvet finish mojari
